Bond pair type,Mode percentual bond length change distribution (ModeRBC) (%),Maximum of the percentual bond length change distribution (MaxRBC) (%),Minimum of the percentual bond length change distribution (MinRBC) (%)
C0-C1,-1.14,5.54,-5.87
C0-H12,0.93,6.22,-4.06
C0-H13,0.33,5.53,-3.84
C0-H14,0.26,5.59,-4.57
C1-C2,0.69,6.2,-5.65
C1-H15,0.57,7.62,-4.86
C1-O119,-0.13,7.64,-6.61
C2-C3,1.02,8.88,-5.81
C2-H16,0.54,7.23,-5.28
C2-H17,1.43,9.71,-5.48
C3-C4,-1.39,6.72,-7.39
C3-H18,0.22,8.86,-4.54
C3-O120,-1.48,9.56,-7.83
C4-C5,1.14,8.93,-6.49
C4-H19,0.38,8.24,-5.19
C4-H20,0.36,8.77,-6.67
C5-C6,1.29,8.7,-5.69
C5-H21,2.81,9.9,-3.87
C5-O121,-4.35,4.15,-11.16
C6-H22,0.3,6.51,-5.32
C6-H23,-0.11,5.91,-4.56
C6-H24,0.39,6.63,-4.04
H25-O119,-0.26,9.76,-5.09
H26-O120,-2.93,-0.56,-4.84
H27-O121,324.0,439.13,174.45
